+------------+--------------------+--------------------+--------------------------+---------------------+-----------------------------+---------------------------+
| Run Number | Disk.mdot(msol/yr) | Wind.mdot(msol/yr) | KWD.d(in_units_of_rstar) | KWD.mdot_r_exponent | KWD.acceleration_length(cm) | KWD.acceleration_exponent |
+------------+--------------------+--------------------+--------------------------+---------------------+-----------------------------+---------------------------+
|     0      |     3.000e-09      |     9.000e-11      |        5.500e-01         |      0.000e+00      |          7.252e+08          |         5.000e-01         |
|     1      |     3.000e-09      |     9.000e-11      |        5.500e-01         |      0.000e+00      |          7.252e+08          |         1.500e+00         |
|     2      |     3.000e-09      |     9.000e-11      |        5.500e-01         |      0.000e+00      |          7.252e+08          |         4.500e+00         |
|     3      |     3.000e-09      |     9.000e-11      |        5.500e-01         |      0.000e+00      |          7.252e+09          |         5.000e-01         |
|     4      |     3.000e-09      |     9.000e-11      |        5.500e-01         |      0.000e+00      |          7.252e+09          |         1.500e+00         |
|     5      |     3.000e-09      |     9.000e-11      |        5.500e-01         |      0.000e+00      |          7.252e+09          |         4.500e+00         |
|     6      |     3.000e-09      |     9.000e-11      |        5.500e-01         |      0.000e+00      |          7.252e+10          |         5.000e-01         |
|     7      |     3.000e-09      |     9.000e-11      |        5.500e-01         |      0.000e+00      |          7.252e+10          |         1.500e+00         |
|     8      |     3.000e-09      |     9.000e-11      |        5.500e-01         |      0.000e+00      |          7.252e+10          |         4.500e+00         |
|     9      |     3.000e-09      |     9.000e-11      |        5.500e-01         |      2.500e-01      |          7.252e+08          |         5.000e-01         |
|     10     |     3.000e-09      |     9.000e-11      |        5.500e-01         |      2.500e-01      |          7.252e+08          |         1.500e+00         |
|     11     |     3.000e-09      |     9.000e-11      |        5.500e-01         |      2.500e-01      |          7.252e+08          |         4.500e+00         |
|     12     |     3.000e-09      |     9.000e-11      |        5.500e-01         |      2.500e-01      |          7.252e+09          |         5.000e-01         |
|     13     |     3.000e-09      |     9.000e-11      |        5.500e-01         |      2.500e-01      |          7.252e+09          |         1.500e+00         |
|     14     |     3.000e-09      |     9.000e-11      |        5.500e-01         |      2.500e-01      |          7.252e+09          |         4.500e+00         |
|     15     |     3.000e-09      |     9.000e-11      |        5.500e-01         |      2.500e-01      |          7.252e+10          |         5.000e-01         |
|     16     |     3.000e-09      |     9.000e-11      |        5.500e-01         |      2.500e-01      |          7.252e+10          |         1.500e+00         |
|     17     |     3.000e-09      |     9.000e-11      |        5.500e-01         |      2.500e-01      |          7.252e+10          |         4.500e+00         |
|     18     |     3.000e-09      |     9.000e-11      |        5.500e-01         |      1.000e+00      |          7.252e+08          |         5.000e-01         |
|     19     |     3.000e-09      |     9.000e-11      |        5.500e-01         |      1.000e+00      |          7.252e+08          |         1.500e+00         |
|     20     |     3.000e-09      |     9.000e-11      |        5.500e-01         |      1.000e+00      |          7.252e+08          |         4.500e+00         |
|     21     |     3.000e-09      |     9.000e-11      |        5.500e-01         |      1.000e+00      |          7.252e+09          |         5.000e-01         |
|     22     |     3.000e-09      |     9.000e-11      |        5.500e-01         |      1.000e+00      |          7.252e+09          |         1.500e+00         |
|     23     |     3.000e-09      |     9.000e-11      |        5.500e-01         |      1.000e+00      |          7.252e+09          |         4.500e+00         |
|     24     |     3.000e-09      |     9.000e-11      |        5.500e-01         |      1.000e+00      |          7.252e+10          |         5.000e-01         |
|     25     |     3.000e-09      |     9.000e-11      |        5.500e-01         |      1.000e+00      |          7.252e+10          |         1.500e+00         |
|     26     |     3.000e-09      |     9.000e-11      |        5.500e-01         |      1.000e+00      |          7.252e+10          |         4.500e+00         |
|     27     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      0.000e+00      |          7.252e+08          |         5.000e-01         |
|     28     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      0.000e+00      |          7.252e+08          |         1.500e+00         |
|     29     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      0.000e+00      |          7.252e+08          |         4.500e+00         |
|     30     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      0.000e+00      |          7.252e+09          |         5.000e-01         |
|     31     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      0.000e+00      |          7.252e+09          |         1.500e+00         |
|     32     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      0.000e+00      |          7.252e+09          |         4.500e+00         |
|     33     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      0.000e+00      |          7.252e+10          |         5.000e-01         |
|     34     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      0.000e+00      |          7.252e+10          |         1.500e+00         |
|     35     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      0.000e+00      |          7.252e+10          |         4.500e+00         |
|     36     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      2.500e-01      |          7.252e+08          |         5.000e-01         |
|     37     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      2.500e-01      |          7.252e+08          |         1.500e+00         |
|     38     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      2.500e-01      |          7.252e+08          |         4.500e+00         |
|     39     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      2.500e-01      |          7.252e+09          |         5.000e-01         |
|     40     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      2.500e-01      |          7.252e+09          |         1.500e+00         |
|     41     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      2.500e-01      |          7.252e+09          |         4.500e+00         |
|     42     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      2.500e-01      |          7.252e+10          |         5.000e-01         |
|     43     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      2.500e-01      |          7.252e+10          |         1.500e+00         |
|     44     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      2.500e-01      |          7.252e+10          |         4.500e+00         |
|     45     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      1.000e+00      |          7.252e+08          |         5.000e-01         |
|     46     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      1.000e+00      |          7.252e+08          |         1.500e+00         |
|     47     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      1.000e+00      |          7.252e+08          |         4.500e+00         |
|     48     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      1.000e+00      |          7.252e+09          |         5.000e-01         |
|     49     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      1.000e+00      |          7.252e+09          |         1.500e+00         |
|     50     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      1.000e+00      |          7.252e+09          |         4.500e+00         |
|     51     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      1.000e+00      |          7.252e+10          |         5.000e-01         |
|     52     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      1.000e+00      |          7.252e+10          |         1.500e+00         |
|     53     |     3.000e-09      |     9.000e-11      |        5.500e+00         |      1.000e+00      |          7.252e+10          |         4.500e+00         |
|     54     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      0.000e+00      |          7.252e+08          |         5.000e-01         |
|     55     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      0.000e+00      |          7.252e+08          |         1.500e+00         |
|     56     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      0.000e+00      |          7.252e+08          |         4.500e+00         |
|     57     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      0.000e+00      |          7.252e+09          |         5.000e-01         |
|     58     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      0.000e+00      |          7.252e+09          |         1.500e+00         |
|     59     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      0.000e+00      |          7.252e+09          |         4.500e+00         |
|     60     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      0.000e+00      |          7.252e+10          |         5.000e-01         |
|     61     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      0.000e+00      |          7.252e+10          |         1.500e+00         |
|     62     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      0.000e+00      |          7.252e+10          |         4.500e+00         |
|     63     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      2.500e-01      |          7.252e+08          |         5.000e-01         |
|     64     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      2.500e-01      |          7.252e+08          |         1.500e+00         |
|     65     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      2.500e-01      |          7.252e+08          |         4.500e+00         |
|     66     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      2.500e-01      |          7.252e+09          |         5.000e-01         |
|     67     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      2.500e-01      |          7.252e+09          |         1.500e+00         |
|     68     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      2.500e-01      |          7.252e+09          |         4.500e+00         |
|     69     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      2.500e-01      |          7.252e+10          |         5.000e-01         |
|     70     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      2.500e-01      |          7.252e+10          |         1.500e+00         |
|     71     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      2.500e-01      |          7.252e+10          |         4.500e+00         |
|     72     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      1.000e+00      |          7.252e+08          |         5.000e-01         |
|     73     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      1.000e+00      |          7.252e+08          |         1.500e+00         |
|     74     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      1.000e+00      |          7.252e+08          |         4.500e+00         |
|     75     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      1.000e+00      |          7.252e+09          |         5.000e-01         |
|     76     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      1.000e+00      |          7.252e+09          |         1.500e+00         |
|     77     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      1.000e+00      |          7.252e+09          |         4.500e+00         |
|     78     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      1.000e+00      |          7.252e+10          |         5.000e-01         |
|     79     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      1.000e+00      |          7.252e+10          |         1.500e+00         |
|     80     |     3.000e-09      |     9.000e-11      |        5.500e+01         |      1.000e+00      |          7.252e+10          |         4.500e+00         |
|     81     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+08          |         5.000e-01         |
|     82     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+08          |         1.500e+00         |
|     83     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+08          |         4.500e+00         |
|     84     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+09          |         5.000e-01         |
|     85     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+09          |         1.500e+00         |
|     86     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+09          |         4.500e+00         |
|     87     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+10          |         5.000e-01         |
|     88     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+10          |         1.500e+00         |
|     89     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      0.000e+00      |          7.252e+10          |         4.500e+00         |
|     90     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+08          |         5.000e-01         |
|     91     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+08          |         1.500e+00         |
|     92     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+08          |         4.500e+00         |
|     93     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+09          |         5.000e-01         |
|     94     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+09          |         1.500e+00         |
|     95     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+09          |         4.500e+00         |
|     96     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+10          |         5.000e-01         |
|     97     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+10          |         1.500e+00         |
|     98     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      2.500e-01      |          7.252e+10          |         4.500e+00         |
|     99     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+08          |         5.000e-01         |
|    100     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+08          |         1.500e+00         |
|    101     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+08          |         4.500e+00         |
|    102     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+09          |         5.000e-01         |
|    103     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+09          |         1.500e+00         |
|    104     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+09          |         4.500e+00         |
|    105     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+10          |         5.000e-01         |
|    106     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+10          |         1.500e+00         |
|    107     |     3.000e-09      |     3.000e-10      |        5.500e-01         |      1.000e+00      |          7.252e+10          |         4.500e+00         |
|    108     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+08          |         5.000e-01         |
|    109     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+08          |         1.500e+00         |
|    110     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+08          |         4.500e+00         |
|    111     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+09          |         5.000e-01         |
|    112     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+09          |         1.500e+00         |
|    113     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+09          |         4.500e+00         |
|    114     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+10          |         5.000e-01         |
|    115     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+10          |         1.500e+00         |
|    116     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      0.000e+00      |          7.252e+10          |         4.500e+00         |
|    117     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+08          |         5.000e-01         |
|    118     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+08          |         1.500e+00         |
|    119     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+08          |         4.500e+00         |
|    120     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+09          |         5.000e-01         |
|    121     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+09          |         1.500e+00         |
|    122     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+09          |         4.500e+00         |
|    123     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+10          |         5.000e-01         |
|    124     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+10          |         1.500e+00         |
|    125     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      2.500e-01      |          7.252e+10          |         4.500e+00         |
|    126     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+08          |         5.000e-01         |
|    127     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+08          |         1.500e+00         |
|    128     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+08          |         4.500e+00         |
|    129     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+09          |         5.000e-01         |
|    130     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+09          |         1.500e+00         |
|    131     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+09          |         4.500e+00         |
|    132     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+10          |         5.000e-01         |
|    133     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+10          |         1.500e+00         |
|    134     |     3.000e-09      |     3.000e-10      |        5.500e+00         |      1.000e+00      |          7.252e+10          |         4.500e+00         |
|    135     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+08          |         5.000e-01         |
|    136     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+08          |         1.500e+00         |
|    137     |     3.000e-09      |     3.000e-10      |        5.500e+01         |      0.000e+00      |          7.252e+08          |         4.500e+00         |
