+------------+--------------------+--------------------+--------------------------+---------------------+-----------------------------+---------------------------+
| Run Number | Disk.mdot(msol/yr) | Wind.mdot(msol/yr) | KWD.d(in_units_of_rstar) | KWD.mdot_r_exponent | KWD.acceleration_length(cm) | KWD.acceleration_exponent |
+------------+--------------------+--------------------+--------------------------+---------------------+-----------------------------+---------------------------+
|     0      |     9.082e-09      |     1.327e-09      |        2.596e+01         |      6.731e-01      |          2.773e+10          |         1.971e+00         |
|     1      |     1.313e-08      |     8.779e-10      |        4.272e+01         |      2.891e-01      |          1.524e+10          |         4.048e+00         |
|     2      |     2.736e-08      |     5.812e-09      |        8.785e+00         |      9.466e-01      |          5.273e+10          |         3.042e+00         |
|     3      |     1.576e-08      |     8.722e-10      |        2.221e+00         |      5.388e-01      |          3.642e+10          |         3.686e+00         |
|     4      |     2.817e-08      |     1.636e-09      |        4.669e+01         |      5.176e-01      |          1.944e+10          |         2.291e+00         |
|     5      |     2.147e-08      |     6.157e-09      |        2.270e+01         |      8.203e-01      |          9.991e+08          |         1.710e+00         |
|     6      |     1.840e-08      |     2.921e-09      |        3.278e+01         |      1.694e-01      |          1.300e+10          |         3.901e+00         |
|     7      |     1.038e-08      |     1.351e-09      |        2.780e+00         |      9.124e-01      |          4.655e+10          |         3.257e+00         |
|     8      |     1.642e-08      |     3.953e-09      |        9.462e+00         |      4.761e-01      |          6.274e+10          |         9.907e-01         |
|     9      |     2.339e-08      |     4.666e-09      |        2.522e+01         |      8.721e-01      |          5.632e+09          |         2.423e+00         |
|     10     |     2.853e-08      |     7.167e-09      |        5.101e+00         |      2.488e-01      |          3.835e+10          |         7.307e-01         |
|     11     |     9.832e-09      |     1.196e-09      |        3.364e+01         |      9.328e-02      |          6.161e+10          |         4.277e+00         |
|     12     |     2.519e-08      |     7.043e-09      |        5.009e+01         |      7.419e-01      |          1.861e+10          |         2.514e+00         |
|     13     |     2.097e-08      |     2.158e-09      |        3.480e+01         |      7.175e-01      |          4.518e+10          |         2.180e+00         |
|     14     |     6.631e-09      |     1.526e-09      |        5.081e+01         |      7.212e-01      |          1.081e+10          |         4.361e+00         |
|     15     |     6.051e-09      |     1.578e-09      |        8.004e+00         |      4.390e-01      |          7.197e+10          |         2.698e+00         |
|     16     |     2.454e-08      |     4.410e-09      |        3.941e+01         |      5.566e-01      |          2.890e+10          |         3.957e+00         |
|     17     |     3.522e-09      |     8.454e-10      |        4.743e+01         |      8.155e-01      |          3.381e+10          |         2.162e+00         |
|     18     |     2.962e-08      |     8.773e-09      |        2.807e+01         |      5.852e-01      |          1.060e+10          |         1.297e+00         |
|     19     |     1.164e-08      |     1.655e-09      |        4.901e+01         |      2.118e-01      |          5.778e+10          |         4.253e+00         |
|     20     |     7.761e-09      |     1.978e-09      |        3.647e+01         |      7.635e-01      |          4.763e+10          |         1.937e+00         |
|     21     |     8.716e-09      |     7.480e-10      |        2.033e+01         |      2.661e-01      |          2.364e+10          |         2.946e+00         |
|     22     |     2.049e-08      |     3.097e-09      |        6.956e+00         |      5.724e-01      |          6.988e+09          |         3.432e+00         |
|     23     |     2.668e-08      |     1.018e-09      |        1.836e+01         |      3.725e-01      |          1.388e+10          |         1.658e+00         |
|     24     |     1.769e-08      |     5.119e-09      |        2.155e+01         |      1.491e-02      |          5.944e+10          |         1.447e+00         |
|     25     |     3.668e-09      |     7.488e-10      |        1.929e+01         |      6.378e-01      |          4.375e+10          |         2.660e+00         |
|     26     |     2.473e-08      |     3.386e-09      |        1.077e+01         |      9.787e-01      |          3.680e+10          |         4.488e+00         |
|     27     |     8.251e-09      |     3.857e-10      |        5.180e+01         |      6.109e-01      |          4.017e+10          |         2.753e+00         |
|     28     |     7.225e-09      |     1.390e-09      |        5.418e+01         |      1.241e-01      |          8.178e+09          |         8.297e-01         |
|     29     |     1.917e-08      |     1.510e-09      |        4.393e+01         |      4.257e-02      |          6.414e+10          |         1.115e+00         |
|     30     |     2.009e-08      |     4.319e-09      |        1.394e+01         |      3.461e-02      |          2.583e+09          |         1.571e+00         |
|     31     |     2.677e-08      |     2.969e-09      |        4.041e+01         |      7.981e-01      |          4.972e+09          |         1.182e+00         |
